"rank","repo","url","category_label","relevance_label","stars","forks","language","license","days_since_update","adoption_score","maintainability_score","fit_score","value_score","risk_score","grade","description"
"11","OthmanAdi/planning-with-files","https://github.com/OthmanAdi/planning-with-files","plugins-skills","B-medium","14667","1355","Python","MIT","0","61","95","80","77","28","B-usable","Claude Code skill implementing Manus-style persistent markdown planning — the workflow pattern behind the $2B acquisition."
"12","1Panel-dev/1Panel","https://github.com/1Panel-dev/1Panel","panel-ui","B-medium","33677","2982","Go","GPL-3.0","0","69","84","78","76","32","B-usable","🔥 Take full control of your VPS with 1Panel. Deploy OpenClaw and websites in one click."
"13","cloudflare/moltworker","https://github.com/cloudflare/moltworker","deployment","B-medium","9245","1673","TypeScript","Apache-2.0","0","59","95","80","76","28","B-usable","Run OpenClaw, (formerly Moltbot, formerly Clawdbot) on Cloudflare Workers"
"14","kepano/obsidian-skills","https://github.com/kepano/obsidian-skills","plugins-skills","B-medium","11236","604",,"MIT","0","58","95","80","75","28","B-usable","Agent skills for Obsidian. Teach your agent to use Markdown, Bases, JSON Canvas, and use the CLI."
"15","mcp-use/mcp-use","https://github.com/mcp-use/mcp-use","plugins-skills","B-medium","9289","1146","TypeScript","MIT","0","58","95","80","75","28","B-usable","The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents."
"16","openclaw/skills","https://github.com/openclaw/skills","official","A-official","1550","523","Python","MIT","0","45","100","100","75","20","B-usable","All versions of all skills that are on clawdhub.com archived"
"17","AstrBotDevs/AstrBot","https://github.com/AstrBotDevs/AstrBot","plugins-skills","B-medium","18109","1373","Python","AGPL-3.0","0","62","85","80","74","28","B-usable","Agentic IM Chatbot infrastructure that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨"
"18","HKUDS/ClawWork","https://github.com/HKUDS/ClawWork","deployment","B-medium","5652","688","Python","MIT","0","54","95","80","74","28","B-usable","""ClawWork: OpenClaw as Your AI Coworker - 💰 $10K earned in 7 Hours"""
"19","MemTensor/MemOS","https://github.com/MemTensor/MemOS","plugins-skills","B-medium","5913","539","Python","Apache-2.0","0","54","95","80","73","28","B-usable","AI memory OS for LLM and Agent systems(moltbot,clawdbot,openclaw), enabling persistent Skill memory for cross-task skill reuse and evolution."
"20","AlexsJones/llmfit","https://github.com/AlexsJones/llmfit","plugins-skills","B-medium","5734","329","Rust","MIT","0","53","95","80","73","28","B-usable","497 models. 133 providers. One command to find what runs on your hardware."
"21","m1heng/clawdbot-feishu","https://github.com/m1heng/clawdbot-feishu","other","A-high","3541","392","TypeScript","MIT","0","50","98","81","73","26","B-usable",
"22","ComposioHQ/secure-openclaw","https://github.com/ComposioHQ/secure-openclaw","security","A-high","1387","224","JavaScript","MIT","0","45","98","91","73","20","B-usable","A personal 24x7 AI assistant like OpenClaw that runs on your messaging platforms. Send a message on WhatsApp, Telegram, Signal, or iMessage and get responses from Claude with full tool access, persistent memory, scheduled reminders, and integrations with 500+ apps."
"23","openclaw/lobster","https://github.com/openclaw/lobster","official","A-official","619","164","TypeScript","MIT","0","39","100","100","73","20","B-usable","Lobster is a Openclaw-native workflow shell: a typed, local-first “macro engine” that turns skills/tools into composable pipelines and safe automations—and lets Openclaw call those workflows in one step."
"24","volcengine/OpenViking","https://github.com/volcengine/OpenViking","plugins-skills","B-medium","4048","309","Python","Apache-2.0","0","51","95","80","72","28","B-usable","OpenViking is an open-source context database designed specifically for AI Agents(such as openclaw). OpenViking unifies the management of context (memory, resources, and skills) that Agents need through a file system paradigm, enabling hierarchical context delivery and self-evolving."
"25","nearai/ironclaw","https://github.com/nearai/ironclaw","security","B-medium","3634","391","Rust","Apache-2.0","0","50","95","80","72","28","B-usable","IronClaw is OpenClaw inspired implementation in Rust focused on privacy and security"
"26","mnfst/manifest","https://github.com/mnfst/manifest","plugins-skills","B-medium","3357","158","TypeScript","MIT","0","50","95","80","72","28","B-usable","Cut OpenClaw Costs up to 90% Keeping Your Data Safe."
"27","DingTalk-Real-AI/dingtalk-openclaw-connector","https://github.com/DingTalk-Real-AI/dingtalk-openclaw-connector","plugins-skills","A-high","1337","87","TypeScript","MIT","0","44","98","91","72","20","B-usable","将 钉钉机器人 / 钉钉 DEAP Agent 连接到 OpenClaw Gateway 的OpenClaw Plugin，支持 AI Card 流式响应"
"28","openclaw/openclaw-ansible","https://github.com/openclaw/openclaw-ansible","official","A-official","417","200","Shell","MIT","0","37","100","100","72","20","B-usable","Automated, hardened Clawdbot installation with Tailscale VPN, UFW firewall, and Docker isolation"
"29","memovai/mimiclaw","https://github.com/memovai/mimiclaw","alternatives-forks","B-medium","3442","449","C","MIT","0","50","95","73","71","40","B-usable","MimiClaw: Run OpenClaw on a $5 chip. No OS(Linux). No Node.js. No Mac mini. No Raspberry Pi. No VPS.😗Local-first memory. Shareable. Portable. Privacy-first. Smarter than PicoClaw."
"30","KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh","https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh","panel-ui","A-high","1041","179",,"MIT","0","42","98","90","71","20","B-usable","从零到企业实战：Claude Code 官方编程神器 + OpenClaw 224K Stars 开源AI助手 | 双顶流中文教程 | 21篇教程 130000+字"
"31","abhi1693/openclaw-mission-control","https://github.com/abhi1693/openclaw-mission-control","panel-ui","A-high","989","247","TypeScript","MIT","0","42","98","90","71","20","B-usable","AI Agent Orchestration Dashboard - Manage AI agents, assign tasks, and coordinate multi-agent collaboration via OpenClaw Gateway."
"32","SamurAIGPT/awesome-openclaw","https://github.com/SamurAIGPT/awesome-openclaw","plugins-skills","A-high","692","118",,"MIT","0","40","98","91","71","20","B-usable","A curated list of OpenClaw resources, tools, skills, tutorials & articles. OpenClaw (formerly Moltbot / Clawdbot) — open-source self-hosted AI agent for WhatsApp, Telegram, Discord & 50+ integrations."
"33","BlockRunAI/ClawRouter","https://github.com/BlockRunAI/ClawRouter","other","B-medium","3636","358","TypeScript","MIT","0","50","95","70","70","34","B-usable","The agent-native LLM router empowering OpenClaw — by BlockRunAI"
"34","davepoon/buildwithclaude","https://github.com/davepoon/buildwithclaude","panel-ui","B-medium","2497","274","TypeScript","MIT","0","48","95","78","70","28","B-usable","A single hub to find Claude Skills, Agents, Commands, Hooks, Plugins, and Marketplace collections to extend Claude Code, Claude Desktop, Agent SDK and OpenClaw"
"35","RightNow-AI/openfang","https://github.com/RightNow-AI/openfang","plugins-skills","B-medium","2127","215","Rust","Apache-2.0","0","47","95","80","70","28","B-usable","Open-source Agent Operating System"
"36","justlovemaki/OpenClaw-Docker-CN-IM","https://github.com/justlovemaki/OpenClaw-Docker-CN-IM","deployment","A-high","2103","226","Shell","GPL-3.0","0","47","88","91","70","20","B-usable","OpenClaw 的中国IM平台整合Docker版本，预装并配置了飞书、钉钉、QQ机器人、企业微信等主流中国IM软件的插件，让您可以快速部署一个支持多个中国IM平台的 AI 机器人网关"
"37","grp06/openclaw-studio","https://github.com/grp06/openclaw-studio","panel-ui","A-high","652","83","TypeScript","MIT","0","39","98","90","70","20","B-usable","A clean web dashboard for OpenClaw. Connect your Gateway, manage agents, and ship faster. ⭐️ Star if you like it!"
"38","badrisnarayanan/antigravity-claude-proxy","https://github.com/badrisnarayanan/antigravity-claude-proxy","other","B-medium","2932","393","JavaScript","MIT","0","50","95","70","69","34","B-usable","Proxy that exposes Antigravity provided claude / gemini models, so we can use them in Claude Code and OpenClaw (Clawdbot)"
"39","ValueCell-ai/ClawX","https://github.com/ValueCell-ai/ClawX","panel-ui","B-medium","1653","187","TypeScript","MIT","0","46","95","78","69","28","B-usable","ClawX is a desktop app that provides a graphical interface for OpenClaw AI agents. It turns CLI-based AI orchestration into a desktop experience without using the terminal. We’ve moved from clawx.dev to claw-x.com."
"40","moltis-org/moltis","https://github.com/moltis-org/moltis","security","B-medium","1565","155","Rust","MIT","0","44","95","80","69","28","B-usable","A Rust-native claw you can trust. One binary — sandboxed, secure, auditable. Voice, memory, MCP tools, and multi-channel access built-in."
"41","digitalknk/openclaw-runbook","https://github.com/digitalknk/openclaw-runbook","other","A-high","792","71",,"MIT","0","41","98","81","69","26","B-usable",
"42","snarktank/antfarm","https://github.com/snarktank/antfarm","other","B-medium","1650","315","TypeScript","MIT","0","46","95","70","68","34","B-usable","Build your agent team in OpenClaw with one command."
"43","DeepMyst/Mysti","https://github.com/DeepMyst/Mysti","panel-ui","B-medium","950","40","TypeScript","Apache-2.0","0","41","95","78","68","28","B-usable","AI coding dream team of agents for VS Code. Claude Code + openai Codex collaborate in brainstorm mode, debate solutions, and synthesize the best approach for your code."
"44","openakita/openakita","https://github.com/openakita/openakita","plugins-skills","B-medium","790","81","Python","MIT","0","41","95","80","68","28","B-usable","An open-source AI assistant framework with skills and agent architecture"
"45","xianyu110/awesome-openclaw-tutorial","https://github.com/xianyu110/awesome-openclaw-tutorial","plugins-skills","A-high","297","55","Shell","MIT","0","34","98","91","68","20","B-usable","从零开始玩转OpenClaw：最全面的中文教程，涵盖安装、配置、实战案例和避坑指南（github版）"
"46","AlexAnys/openclaw-feishu","https://github.com/AlexAnys/openclaw-feishu","plugins-skills","A-high","277","27","TypeScript","MIT","0","34","98","91","68","20","B-usable","飞书插件 × OpenClaw 保姆级配置指南 & 社区支持 （0224 - 增加 Lark Webhook 内网穿透方案）"
"47","openperf/openclaw-cloud","https://github.com/openperf/openclaw-cloud","plugins-skills","A-high","256","30","TypeScript","MIT","1","34","98","91","68","24","B-usable","Give your AI Agent a cloud-native life. Deploy once, converse everywhere."
"48","AidanPark/openclaw-android","https://github.com/AidanPark/openclaw-android","deployment","A-high","220","37","Shell","MIT","0","33","98","91","68","20","B-usable","Run OpenClaw on Android with a single command — no proot, no Linux"
"49","NevaMind-AI/memU","https://github.com/NevaMind-AI/memU","security","B-medium","11092","812","Python","NOASSERTION","0","58","72","80","67","46","C-cautious","Memory for 24/7 proactive agents like openclaw (moltbot, clawdbot)."
"50","getumbrel/umbrel","https://github.com/getumbrel/umbrel","deployment","B-medium","10627","701","TypeScript","NOASSERTION","0","58","72","80","67","46","C-cautious","An elegant home server OS. Run OpenClaw, store your files and photos, run a Bitcoin node, and do more with over 300 apps in the Umbrel App Store."
